Year,Sub-Saharan Africa,Northern Africa,Eastern Asia,Eastern Asia without China,Southern Asia,Southern Asia without India,South Eastern Asia,Western Asia,Oceania,Latin American and the Caribbean,Caucasus and Central Asia,Developed regions,Developing regions,Least Developed Countries,World
1990,48,87,68,96,73,79,72,85,50,85,87,98,70,51,76
2015,68,93,96,98,93,89,90,95,56,95,89,99,89,69,91
